spawn bash -c cat .run-ssh | ssh -o 'StrictHostKeyChecking no' root@10.10.11.131 'bash -s'
root@10.10.11.131's password: 
PING 2.6.0.2 (2.6.0.2) 56(84) bytes of data.
64 bytes from 2.6.0.2: icmp_seq=1 ttl=63 time=0.357 ms
64 bytes from 2.6.0.2: icmp_seq=2 ttl=63 time=0.243 ms
64 bytes from 2.6.0.2: icmp_seq=3 ttl=63 time=0.250 ms
64 bytes from 2.6.0.2: icmp_seq=4 ttl=63 time=0.245 ms
64 bytes from 2.6.0.2: icmp_seq=5 ttl=63 time=0.244 ms
64 bytes from 2.6.0.2: icmp_seq=17 ttl=63 time=0.230 ms
64 bytes from 2.6.0.2: icmp_seq=36 ttl=63 time=0.249 ms
64 bytes from 2.6.0.2: icmp_seq=140 ttl=63 time=0.251 ms
64 bytes from 2.6.0.2: icmp_seq=141 ttl=63 time=0.218 ms
64 bytes from 2.6.0.2: icmp_seq=142 ttl=63 time=0.218 ms
64 bytes from 2.6.0.2: icmp_seq=143 ttl=63 time=0.240 ms
64 bytes from 2.6.0.2: icmp_seq=144 ttl=63 time=0.240 ms
64 bytes from 2.6.0.2: icmp_seq=145 ttl=63 time=0.199 ms
64 bytes from 2.6.0.2: icmp_seq=146 ttl=63 time=0.236 ms
64 bytes from 2.6.0.2: icmp_seq=147 ttl=63 time=0.170 ms
64 bytes from 2.6.0.2: icmp_seq=148 ttl=63 time=0.185 ms
64 bytes from 2.6.0.2: icmp_seq=149 ttl=63 time=0.171 ms
64 bytes from 2.6.0.2: icmp_seq=150 ttl=63 time=0.221 ms
64 bytes from 2.6.0.2: icmp_seq=151 ttl=63 time=0.218 ms
64 bytes from 2.6.0.2: icmp_seq=152 ttl=63 time=0.190 ms
64 bytes from 2.6.0.2: icmp_seq=159 ttl=63 time=0.220 ms
64 bytes from 2.6.0.2: icmp_seq=160 ttl=63 time=0.235 ms
64 bytes from 2.6.0.2: icmp_seq=161 ttl=63 time=0.203 ms
64 bytes from 2.6.0.2: icmp_seq=162 ttl=63 time=0.175 ms
64 bytes from 2.6.0.2: icmp_seq=163 ttl=63 time=0.212 ms
64 bytes from 2.6.0.2: icmp_seq=164 ttl=63 time=0.207 ms
64 bytes from 2.6.0.2: icmp_seq=165 ttl=63 time=0.233 ms
64 bytes from 2.6.0.2: icmp_seq=166 ttl=63 time=0.233 ms
64 bytes from 2.6.0.2: icmp_seq=167 ttl=63 time=0.234 ms
64 bytes from 2.6.0.2: icmp_seq=168 ttl=63 time=0.233 ms
64 bytes from 2.6.0.2: icmp_seq=169 ttl=63 time=0.184 ms
64 bytes from 2.6.0.2: icmp_seq=170 ttl=63 time=0.244 ms
64 bytes from 2.6.0.2: icmp_seq=180 ttl=63 time=0.235 ms
64 bytes from 2.6.0.2: icmp_seq=181 ttl=63 time=0.206 ms
64 bytes from 2.6.0.2: icmp_seq=182 ttl=63 time=0.222 ms
64 bytes from 2.6.0.2: icmp_seq=183 ttl=63 time=0.205 ms
64 bytes from 2.6.0.2: icmp_seq=184 ttl=63 time=0.234 ms
64 bytes from 2.6.0.2: icmp_seq=185 ttl=63 time=0.231 ms
64 bytes from 2.6.0.2: icmp_seq=186 ttl=63 time=0.233 ms
64 bytes from 2.6.0.2: icmp_seq=187 ttl=63 time=0.233 ms
64 bytes from 2.6.0.2: icmp_seq=188 ttl=63 time=0.240 ms
64 bytes from 2.6.0.2: icmp_seq=189 ttl=63 time=0.184 ms
64 bytes from 2.6.0.2: icmp_seq=190 ttl=63 time=0.195 ms
64 bytes from 2.6.0.2: icmp_seq=191 ttl=63 time=0.238 ms
64 bytes from 2.6.0.2: icmp_seq=199 ttl=63 time=0.219 ms
64 bytes from 2.6.0.2: icmp_seq=200 ttl=63 time=0.236 ms
64 bytes from 2.6.0.2: icmp_seq=201 ttl=63 time=0.232 ms
64 bytes from 2.6.0.2: icmp_seq=202 ttl=63 time=0.235 ms
64 bytes from 2.6.0.2: icmp_seq=203 ttl=63 time=0.235 ms
64 bytes from 2.6.0.2: icmp_seq=204 ttl=63 time=0.217 ms
64 bytes from 2.6.0.2: icmp_seq=205 ttl=63 time=0.232 ms
64 bytes from 2.6.0.2: icmp_seq=206 ttl=63 time=0.234 ms
64 bytes from 2.6.0.2: icmp_seq=207 ttl=63 time=0.231 ms
64 bytes from 2.6.0.2: icmp_seq=208 ttl=63 time=0.177 ms
64 bytes from 2.6.0.2: icmp_seq=209 ttl=63 time=0.231 ms
64 bytes from 2.6.0.2: icmp_seq=210 ttl=63 time=0.186 ms
64 bytes from 2.6.0.2: icmp_seq=211 ttl=63 time=0.224 ms
64 bytes from 2.6.0.2: icmp_seq=212 ttl=63 time=0.236 ms
