spawn bash -c cat .run-ssh | ssh root@10.10.11.131 'bash -s' 
root@10.10.11.131's password: 
PING 3.5.0.2 (3.5.0.2) 56(84) bytes of data.
64 bytes from 3.5.0.2: icmp_seq=1 ttl=60 time=1.16 ms
64 bytes from 3.5.0.2: icmp_seq=2 ttl=60 time=1.04 ms
64 bytes from 3.5.0.2: icmp_seq=3 ttl=60 time=0.972 ms
64 bytes from 3.5.0.2: icmp_seq=4 ttl=60 time=1.06 ms
64 bytes from 3.5.0.2: icmp_seq=5 ttl=60 time=1.05 ms
64 bytes from 3.5.0.2: icmp_seq=6 ttl=60 time=1.02 ms
64 bytes from 3.5.0.2: icmp_seq=7 ttl=60 time=1.03 ms
64 bytes from 3.5.0.2: icmp_seq=8 ttl=60 time=1.02 ms
64 bytes from 3.5.0.2: icmp_seq=9 ttl=60 time=1.05 ms
64 bytes from 3.5.0.2: icmp_seq=10 ttl=60 time=0.999 ms
64 bytes from 3.5.0.2: icmp_seq=11 ttl=60 time=1.04 ms
64 bytes from 3.5.0.2: icmp_seq=12 ttl=60 time=1.07 ms
64 bytes from 3.5.0.2: icmp_seq=13 ttl=60 time=1.01 ms
64 bytes from 3.5.0.2: icmp_seq=14 ttl=60 time=1.03 ms
64 bytes from 3.5.0.2: icmp_seq=15 ttl=60 time=1.05 ms
64 bytes from 3.5.0.2: icmp_seq=16 ttl=60 time=1.04 ms
64 bytes from 3.5.0.2: icmp_seq=17 ttl=60 time=1.02 ms
64 bytes from 3.5.0.2: icmp_seq=18 ttl=60 time=1.03 ms
64 bytes from 3.5.0.2: icmp_seq=19 ttl=60 time=1.09 ms
64 bytes from 3.5.0.2: icmp_seq=20 ttl=60 time=1.08 ms
